trimesh\util.py:2064: DeprecationWarning: Using or importing the ABCs from 'collections' instead of from 'collections.abc' is deprecated since Python 3.3, and in 3.9 it will stop working
2021-06-06 13:34:31,985 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] the Free Software Foundation, either version 3 of the License, or
2021-06-06 13:34:31,986 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] (at your option) any later version.
2021-06-06 13:34:31,988 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin FirmwareUpdateChecker
2021-06-06 13:34:31,990 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] 
2021-06-06 13:34:31,991 - DEBUG - [MainThread] UM.Backend.Backend._logSocketState [192]: Socket state changed to Connected
2021-06-06 13:34:31,992 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] This program is distributed in the hope that it will be useful,
2021-06-06 13:34:31,994 - DEBUG - [MainThread] UM.Backend.Backend._onSocketStateChanged [181]: Backend connected on port 49674
2021-06-06 13:34:31,995 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] but WITHOUT ANY WARRANTY; without even the implied warranty of
2021-06-06 13:34:31,997 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
2021-06-06 13:34:31,999 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] GNU Affero General Public License for more details.
2021-06-06 13:34:32,001 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] 
2021-06-06 13:34:32,002 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] You should have received a copy of the GNU Affero General Public License
2021-06-06 13:34:32,005 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] along with this program.  If not, see <http://www.gnu.org/licenses/>.
2021-06-06 13:34:32,010 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin FirmwareUpdater
2021-06-06 13:34:32,016 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin GCodeGzReader
2021-06-06 13:34:32,021 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin GCodeGzWriter
2021-06-06 13:34:32,027 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin GCodeProfileReader
2021-06-06 13:34:32,039 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin GCodeReader
2021-06-06 13:34:32,045 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin GCodeWriter
2021-06-06 13:34:32,054 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin ImageReader
2021-06-06 13:34:32,059 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin LegacyProfileReader
2021-06-06 13:34:32,065 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin LocalContainerProvider
2021-06-06 13:34:32,073 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin LocalFileOutputDevice
2021-06-06 13:34:32,079 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin MachineSettingsAction
2021-06-06 13:34:32,085 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin ModelChecker
2021-06-06 13:34:32,091 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin MonitorStage
2021-06-06 13:34:32,098 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin PerObjectSettingsTool
2021-06-06 13:34:32,106 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin PostProcessingPlugin
2021-06-06 13:34:32,111 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin PrepareStage
2021-06-06 13:34:32,116 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin PreviewStage
2021-06-06 13:34:32,124 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin RemovableDriveOutputDevice
2021-06-06 13:34:32,129 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SentryLogger
2021-06-06 13:34:32,144 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SimulationView
2021-06-06 13:34:32,152 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SliceInfoPlugin
2021-06-06 13:34:32,159 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SolidView
2021-06-06 13:34:32,166 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SupportEraser
2021-06-06 13:34:32,191 - WARNING - [MainThread] UM.Logger.logException [112]: Exception: Failed to load packages for Marketplace
2021-06-06 13:34:32,192 - WARNING - [MainThread] UM.Logger.logException [116]: NoneType: None
2021-06-06 13:34:32,194 - WARNING - [MainThread] UM.Logger.logException [112]: Exception: Failed to load packages for Marketplace
2021-06-06 13:34:32,195 - WARNING - [MainThread] UM.Logger.logException [116]: NoneType: None
2021-06-06 13:34:32,196 - WARNING - [MainThread] UM.Logger.logException [112]: Exception: Failed to load packages for Marketplace
2021-06-06 13:34:32,198 - WARNING - [MainThread] UM.Logger.logException [116]: NoneType: None
2021-06-06 13:34:32,200 - WARNING - [MainThread] UM.Logger.logException [112]: Exception: Failed to load packages for Marketplace
2021-06-06 13:34:32,201 - WARNING - [MainThread] UM.Logger.logException [116]: NoneType: None
2021-06-06 13:34:32,206 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin Toolbox
2021-06-06 13:34:32,213 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CameraTool
2021-06-06 13:34:32,221 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin MirrorTool
2021-06-06 13:34:32,231 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin RotateTool
2021-06-06 13:34:32,241 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin ScaleTool
2021-06-06 13:34:32,246 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SelectionTool
2021-06-06 13:34:32,255 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin TranslateTool
2021-06-06 13:34:32,260 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin TrimeshReader
2021-06-06 13:34:32,272 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin UFPReader
2021-06-06 13:34:32,278 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin UFPWriter
2021-06-06 13:34:32,285 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin UltimakerMachineActions
C:\Program Files\Ultimaker Cura 4.9.1\plugins\UM3NetworkPrinting\src\ExportFileJob.py:31: DeprecationWarning: invalid escape sequence \w
  job_name = re.sub("[^\w\-. ()]", "-", job_name)
2021-06-06 13:34:32,359 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin UM3NetworkPrinting
2021-06-06 13:34:32,368 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin UpdateChecker
2021-06-06 13:34:32,369 - INFO - [JobQueWorker [0]] UpdateChecker.UpdateCheckerJob.run [40]: Checking for new version of cura
C:\Program Files\Ultimaker Cura 4.9.1\plugins\USBPrinting\USBPrinterOutputDevice.py:277: DeprecationWarning: invalid escape sequence \d
  if re.search(b"[B|T\d*]: ?\d+\.?\d*", line):  # Temperature message. 'T:' for extruder and 'B:' for bed
2021-06-06 13:34:32,393 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin USBPrinting
2021-06-06 13:34:32,404 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade21to22
2021-06-06 13:34:32,409 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade22to24
2021-06-06 13:34:32,416 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade25to26
2021-06-06 13:34:32,421 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade26to27
2021-06-06 13:34:32,427 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade27to30
2021-06-06 13:34:32,432 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade30to31
2021-06-06 13:34:32,438 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade32to33
2021-06-06 13:34:32,442 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade33to34
2021-06-06 13:34:32,448 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade34to35
2021-06-06 13:34:32,455 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade35to40
2021-06-06 13:34:32,460 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade40to41
2021-06-06 13:34:32,467 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade41to42
2021-06-06 13:34:32,473 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade42to43
2021-06-06 13:34:32,478 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade43to44
2021-06-06 13:34:32,484 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade44to45
2021-06-06 13:34:32,490 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade45to46
2021-06-06 13:34:32,497 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade460to462
2021-06-06 13:34:32,503 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade462to47
2021-06-06 13:34:32,508 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade47to48
2021-06-06 13:34:32,513 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade48to49
2021-06-06 13:34:32,520 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SimpleView
2021-06-06 13:34:32,531 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin X3DReader
2021-06-06 13:34:32,544 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin XmlMaterialProfile
2021-06-06 13:34:32,550 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin XRayView
2021-06-06 13:34:32,551 - DEBUG - [MainThread] UM.PluginRegistry.loadPlugins [395]: Loading all plugins took 1.193237543106079 seconds
2021-06-06 13:34:32,560 - INFO - [MainThread] UM.VersionUpgradeManager.upgrade [163]: Looking for old configuration files to upgrade.
2021-06-06 13:34:32,641 - INFO - [MainThread] UM.VersionUpgradeManager.upgrade [175]: Checking and performing updates took 0.08099532127380371
2021-06-06 13:34:32,656 - INFO - [MainThread] UM.Logger.info [128]: Completed loading preferences.
2021-06-06 13:34:32,667 - INFO - [MainThread] UM.Logger.info [128]: Created system tray icon.
2021-06-06 13:34:33,629 - DEBUG - [MainThread] UM.Settings.ContainerRegistry.loadAllMetadata [361]: Loading metadata into container registry took 0.9545903205871582 seconds
2021-06-06 13:34:33,638 - DEBUG - [MainThread] cura.Scene.CuraSceneController.setActiveBuildPlate [142]: Select build plate: 0
2021-06-06 13:34:33,640 - INFO - [MainThread] cura.CuraApplication.run [794]: Initializing machine error checker
2021-06-06 13:34:33,813 - WARNING - [MainThread] LocalContainerProvider.LocalContainerProvider._saveCachedDefinition [295]: The definition cache for definition mp_mini_delta failed to pickle.
2021-06-06 13:34:33,828 - INFO - [MainThread] cura.UI.MachineActionManager.addDefaultMachineActions [74]: Default machine actions added for machine definition [mp_mini_delta]
2021-06-06 13:34:33,966 - WARNING - [MainThread] LocalContainerProvider.LocalContainerProvider._saveCachedDefinition [295]: The definition cache for definition fdmprinter failed to pickle.
2021-06-06 13:34:34,003 - INFO - [MainThread] cura.Settings.GlobalStack.addExtruder [194]: Extruder[mp_mini_delta_extruder_0 #2] added to [MP Mini Delta] at position [0]
2021-06-06 13:34:34,004 - INFO - [MainThread] FirmwareUpdateChecker.FirmwareUpdateChecker.checkFirmwareVersion [79]: No machine with name MP Mini Delta in list of firmware to check.
2021-06-06 13:34:34,133 - DEBUG - [MainThread] cura.Machines.ContainerTree.__getitem__ [120]: Adding container tree for mp_mini_delta took 0.1241912841796875 seconds.
C:\Program Files\Ultimaker Cura 4.9.1\plugins\PostProcessingPlugin\Script.py:125: DeprecationWarning: invalid escape sequence \.
  m = re.search('^-?[0-9]+\.?[0-9]*', sub_part)
2021-06-06 13:34:34,140 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: ChangeAtZ
2021-06-06 13:34:34,141 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: ColorMix
2021-06-06 13:34:34,142 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: CreateThumbnail
2021-06-06 13:34:34,143 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: DisplayFilenameAndLayerOnLCD
2021-06-06 13:34:34,144 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: DisplayProgressOnLCD
2021-06-06 13:34:34,145 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: FilamentChange
2021-06-06 13:34:34,146 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: InsertAtLayerChange
2021-06-06 13:34:34,148 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: PauseAtHeight
2021-06-06 13:34:34,150 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: RetractContinue
2021-06-06 13:34:34,150 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: SearchAndReplace
2021-06-06 13:34:34,153 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: Stretch
2021-06-06 13:34:34,155 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: TimeLapse
2021-06-06 13:34:34,155 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: UsePreviousProbeMeasurements
2021-06-06 13:34:34,156 - WARNING - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadAllScripts [155]: Unable to create a folder for scripts: C:\Program Files\Ultimaker Cura 4.9.1\resources\scripts
2021-06-06 13:34:34,188 - INFO - [MainThread] cura.CuraApplication.run [799]: Initializing machine manager
2021-06-06 13:34:34,190 - INFO - [MainThread] cura.CuraApplication.run [804]: Initializing container manager
2021-06-06 13:34:34,253 - DEBUG - [MainThread] cura.OAuth2.AuthorizationHelpers.parseJWT [114]: Checking the access token for [https://account.ultimaker.com/check-token]
C:\Program Files\Ultimaker Cura 4.9.1\plugins\3MFReader\ThreeMFReader.py:126: DeprecationWarning: The binary mode of fromstring is deprecated, as it behaves surprisingly on unicode inputs. Use frombuffer instead
  data = numpy.fromstring(savitar_node.getMeshData().getFlatVerticesAsBytes(), dtype=numpy.float32)
2021-06-06 13:34:34,259 - DEBUG - [JobQueWorker [1]] UM.Mesh.MeshData.calculateNormalsFromVertices [556]: Calculating normals took 0.0010004043579101562 seconds
2021-06-06 13:34:34,273 - DEBUG - [JobQueWorker [1]] UM.Mesh.MeshData.approximateConvexHull [505]: approximateConvexHull(target_count=1024) Calculating 3D convex hull took 0.012203216552734375 seconds. 380 input vertices. 380 output vertices.
2021-06-06 13:34:34,798 - WARNING - [MainThread] cura.OAuth2.AuthorizationHelpers.parseJWT [123]: Could not retrieve token data from auth server: {"errors": [{"id": "2599d7e8-25c3-4f6f-95e4-68e5ed651215", "code": "tokenExpired", "http_status": "403", "title": "The given token has expired.", "meta": {"error_type": "AuthError", "url": "https://account.ultimaker.com/check-token"}}]}
2021-06-06 13:34:34,801 - DEBUG - [MainThread] cura.OAuth2.AuthorizationHelpers.getAccessTokenUsingRefreshToken [61]: Refreshing the access token for [https://account.ultimaker.com]
2021-06-06 13:34:35,344 - DEBUG - [MainThread] cura.OAuth2.AuthorizationService._storeAuthData [250]: Attempting to store the auth data for [https://account.ultimaker.com]
2021-06-06 13:34:35,346 - DEBUG - [MainThread] cura.OAuth2.AuthorizationHelpers.parseJWT [114]: Checking the access token for [https://account.ultimaker.com/check-token]
2021-06-06 13:34:35,847 - DEBUG - [MainThread] cura.OAuth2.AuthorizationHelpers.parseJWT [114]: Checking the access token for [https://account.ultimaker.com/check-token]
2021-06-06 13:34:36,355 - WARNING - [MainThread] UM.Logger.warning [134]: Starting a new sync while previous sync was not completed
{'CloudOutputDeviceManager': 0}
2021-06-06 13:34:36,377 - WARNING - [MainThread] UM.OutputDevice.OutputDeviceManager.removeOutputDevice [235]: Could not find output device with id digital_factory to remove
2021-06-06 13:34:36,394 - DEBUG - [MainThread] UM.Scene.Camera._preferencesChanged [255]: Changing perspective mode to perspective.
2021-06-06 13:34:36,415 - DEBUG - [MainThread] UM.Qt.Bindings.Theme.load [158]: Loading theme file: C:\Program Files\Ultimaker Cura 4.9.1\resources\themes\cura-light\theme.json
2021-06-06 13:34:36,598 - DEBUG - [MainThread] UM.Qt.Bindings.Theme.load [246]: Loaded theme C:\Program Files\Ultimaker Cura 4.9.1\resources\themes\cura-light
2021-06-06 13:34:36,603 - DEBUG - [MainThread] cura.Machines.MachineErrorChecker._rescheduleCheck [155]: New error check scheduled.
2021-06-06 13:34:36,961 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin._createView [342]: Creating post processing plugin view.
2021-06-06 13:34:37,080 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin._createView [352]: Post processing view created.
2021-06-06 13:34:37,174 - WARNING - [MainThread] UM.Qt.QtApplication.__onQmlWarning [411]: file:///C:/Program Files/Ultimaker Cura 4.9.1/resources/qml/PrintSetupSelector/Custom/MenuButton.qml:42:18: QML Label: Cannot anchor to an item that isn't a parent or sibling.
2021-06-06 13:34:37,335 - WARNING - [MainThread] UM.Qt.QtApplication.__onQmlWarning [411]: file:///C:/Program Files/Ultimaker Cura 4.9.1/resources/qml/Account/UserOperations.qml:17:5: QML QQuickItem: Binding loop detected for property "height"
2021-06-06 13:34:37,337 - WARNING - [MainThread] UM.Qt.QtApplication.__onQmlWarning [411]: file:///C:/Program Files/Ultimaker Cura 4.9.1/resources/qml/Account/UserOperations.qml:17:5: QML QQuickItem: Binding loop detected for property "height"
2021-06-06 13:34:37,361 - DEBUG - [MainThread] cura.Machines.Models.NozzleModel._update [28]: Updating NozzleModel.
2021-06-06 13:34:37,430 - DEBUG - [MainThread] UM.Controller.setActiveStage [180]: Setting active stage to PrepareStage
2021-06-06 13:34:37,489 - DEBUG - [MainThread] cura.Machines.Models.NozzleModel._update [28]: Updating NozzleModel.
2021-06-06 13:34:37,600 - DEBUG - [MainThread] UM.Controller.setActiveView [108]: Setting active view to SolidView
2021-06-06 13:34:37,602 - DEBUG - [MainThread] ModelChecker.ModelChecker._createView [117]: Creating model checker view.
2021-06-06 13:34:37,606 - DEBUG - [MainThread] ModelChecker.ModelChecker._createView [126]: Model checker view created.
2021-06-06 13:34:37,607 - DEBUG - [MainThread] SliceInfoPlugin.SliceInfo._createDialog [76]: Creating dialog [MoreInfoWindow.qml]
2021-06-06 13:34:37,652 - DEBUG - [MainThread] Toolbox.src.Toolbox._makeRequestByType [542]: Requesting [updates] metadata from server.
2021-06-06 13:34:37,661 - DEBUG - [MainThread] cura.CuraApplication.run [848]: Booting Cura took 6.9956958293914795 seconds
2021-06-06 13:34:37,663 - DEBUG - [JobQueWorker [2]] cura.Machines.ContainerTree.run [174]: Started background loading of MachineNodes
2021-06-06 13:34:37,683 - DEBUG - [MainThread] UM.Mesh.MeshData.calculateNormalsFromIndexedVertices [581]: Calculating normals took 0.0030040740966796875 seconds
2021-06-06 13:34:37,705 - DEBUG - [MainThread] cura.Machines.Models.QualityProfilesDropDownMenuModel._update [62]: Updating QualityProfilesDropDownMenuModel.
2021-06-06 13:34:37,757 - DEBUG - [MainThread] cura.Machines.Models.CustomQualityProfilesDropDownMenuModel._update [33]: Updating CustomQualityProfilesDropDownMenuModel.
2021-06-06 13:34:37,862 - DEBUG - [MainThread] UM.Logger.logException [112]: Exception: An exception occurred in inherit function =15 if support_enable else 0 if support_tree_enable else 15: name 'support_tree_enable' is not defined
2021-06-06 13:34:37,864 - DEBUG - [MainThread] UM.Logger.logException [116]: Traceback (most recent call last):
2021-06-06 13:34:37,866 - DEBUG - [MainThread] UM.Logger.logException [116]:   File "C:\Users\ultimaker\AppData\Local\Temp\cura-build-4.9-exe\build\inst\lib\python3.8\site-packages\UM\Settings\SettingFunction.py", line 106, in __call__
2021-06-06 13:34:37,867 - DEBUG - [MainThread] UM.Logger.logException [116]:   File "<UM.Settings.SettingFunction (0x137102154c0) =15 if support_enable else 0 if support_tree_enable else 15 >", line 1, in <module>
2021-06-06 13:34:37,869 - DEBUG - [MainThread] UM.Logger.logException [116]: NameError: name 'support_tree_enable' is not defined
2021-06-06 13:34:37,880 - DEBUG - [MainThread] cura.Machines.Models.QualityProfilesDropDownMenuModel._update [62]: Updating QualityProfilesDropDownMenuModel.
2021-06-06 13:34:37,884 - DEBUG - [MainThread] cura.Machines.Models.CustomQualityProfilesDropDownMenuModel._update [33]: Updating CustomQualityProfilesDropDownMenuModel.
2021-06-06 13:34:37,903 - DEBUG - [MainThread] UM.Mesh.MeshData.calculateNormalsFromIndexedVertices [581]: Calculating normals took 0.002968311309814453 seconds
2021-06-06 13:34:38,172 - DEBUG - [JobQueWorker [2]] cura.Machines.ContainerTree.run [185]: All MachineNode loading completed
2021-06-06 13:34:38,564 - DEBUG - [MainThread] UM.Qt.QtRenderer._initialize [210]: Support for Vertex Array Objects: True
2021-06-06 13:34:38,569 - DEBUG - [MainThread] UM.View.GL.OpenGL.__init__ [112]: Initialized OpenGL subsystems.
2021-06-06 13:34:38,571 - DEBUG - [MainThread] UM.View.GL.OpenGL.__init__ [113]: OpenGL Version:  4.1.14760 Core Profile Forward-Compatible Context 20.45.37.01 27.20.14537.1001
2021-06-06 13:34:38,573 - DEBUG - [MainThread] UM.View.GL.OpenGL.__init__ [114]: OpenGL Vendor:   ATI Technologies Inc.
2021-06-06 13:34:38,574 - DEBUG - [MainThread] UM.View.GL.OpenGL.__init__ [115]: OpenGL Renderer: Radeon RX 580 Series
2021-06-06 13:34:38,576 - DEBUG - [MainThread] UM.View.GL.OpenGL.__init__ [116]: GLSL Version:    4.60.0
2021-06-06 13:34:38,577 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [58]: Loading shader file [C:\Program Files\Ultimaker Cura 4.9.1\resources\shaders\default.shader]...
2021-06-06 13:34:38,580 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [58]: Loading shader file [C:\Program Files\Ultimaker Cura 4.9.1\resources\shaders\selection.shader]...
2021-06-06 13:34:38,583 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [58]: Loading shader file [C:\Program Files\Ultimaker Cura 4.9.1\resources\shaders\select_face.shader]...
2021-06-06 13:34:38,586 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [58]: Loading shader file [C:\Program Files\Ultimaker Cura 4.9.1\resources\shaders\default.shader]...
2021-06-06 13:34:38,588 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [58]: Loading shader file [C:\Program Files\Ultimaker Cura 4.9.1\resources\shaders\composite.shader]...
2021-06-06 13:34:38,592 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [58]: Loading shader file [C:\Program Files\Ultimaker Cura 4.9.1\resources\shaders\overhang.shader]...
2021-06-06 13:34:38,595 - DEBUG - [MainThread] UM.View.GL.ShaderProgram.load [58]: Loading shader file [C:\Program Files\Ultimaker Cura 4.9.1\resources\shaders\striped.shader]...
